date,realgdp_monthly_yoy,cpi,CNYUSDSpot,trade balance,current consumption,FR007,omo7d,CNYUSDCPR,IP_yoy,cmpi,cmpi_n_indicators,neer_yoy,target_gdp,target_cpi,shock_policy,shock_policy_change
2015-02-01,6.948029316837867,1.4000000000000057,6.25144,3789.5601635424,23996.25,4.64,3.85,6.133896153846154,6.8,1.0454899196952183,12.0,7.17016,7.5,3.5,0.8799999999999999,-0.009999999999999787
2015-03-01,7.334392768691345,1.4000000000000057,6.239640909090909,192.25681403345453,22722.8,4.474227272727273,3.661111111111111,6.150470967741935,5.6,0.6149779704323849,11.0,11.35009,7.0,3.0,-0.9900000000000002,-0.4399999999999995
2015-04-01,7.271535908330429,1.5,6.2025523809523815,2117.209063991238,22386.7,2.9252380952380954,3.4299999999999997,6.130289655172414,5.9,0.5198980269893858,9.0,13.23241,7.0,3.0,-1.5499999999999998,-0.22999999999999998
2015-05-01,6.879830733379677,1.2000000000000028,6.203945,3690.6033599550497,24194.8,2.13579,3.4299999999999997,6.114153333333332,6.1,-0.2025546795225453,7.0,12.37542,7.0,3.0,-0.3700000000000001,-0.020000000000000018
2015-06-01,7.149184774868944,1.4000000000000057,6.205614285714286,2888.0170559648573,24280.3,2.4185809523809523,2.6,6.1153892857142855,6.8,-0.1914347375146993,11.0,13.053,7.0,3.0,0.48,-0.29000000000000004
2015-07-01,8.161022063815748,1.5999999999999943,6.208647826086957,2671.2673745040875,24338.8,2.5708695652173916,2.5,6.116716129032258,6.0,-0.1415744972290173,9.0,14.18926,7.0,3.0,-0.08999999999999986,0.0
2015-08-01,7.482633312694764,2.0,6.338952380952381,3818.5671018295234,24893.4,2.4509523809523808,2.48125,6.283859259259259,6.1,-0.5103247608175064,11.0,11.76786,7.0,3.0,-0.050000000000000266,-0.18999999999999995
2015-09-01,5.390779211814234,1.5999999999999943,6.369925,3843.7324358907504,25270.6,2.3914285714285715,2.35,6.368195652173913,5.7,-0.3277220253467254,11.0,9.07665,7.0,3.0,-0.06000000000000005,-0.10999999999999988
2015-10-01,6.721094436325625,1.2999999999999972,6.3479705882352935,3913.104266791176,28278.9,2.376111111111111,2.3214285714285716,6.351463636363636,5.6,-0.4353147360486296,11.0,6.41342,7.0,3.0,-0.020000000000000018,-0.1200000000000001
2015-11-01,8.658561479453253,1.5,6.37142380952381,3424.309811866048,27937.3,2.32047619047619,2.25,6.366600000000001,6.2,0.0045693087720726,8.0,5.76148,7.0,3.0,-0.020000000000000018,0.0
2015-12-01,5.338795750841752,1.5999999999999943,6.45431304347826,3833.1625584646954,28634.6,2.3995652173913045,2.25,6.4476304347826074,5.9,0.2130943107231401,4.0,3.96099,7.0,3.0,0.08000000000000007,0.0
2016-01-01,6.761670982025114,1.7999999999999972,6.57364,4160.2492919216,26455.15,2.41,2.25,6.552685,5.4,-0.6143484047449933,6.0,1.84986,7.0,3.0,-0.10000000000000009,0.0
2016-02-01,6.817830577664208,2.299999999999997,6.5408875,2131.8377118955,26455.15,2.3577777777777778,2.25,6.5310875,5.4,-0.2508798285293945,9.0,1.26289,7.0,3.0,0.10000000000000009,0.0
2016-03-01,6.819839570080943,2.299999999999997,6.507904347826087,1943.060120202174,25114.1,2.3434782608695652,2.25,6.5063695652173905,6.8,0.1690657598836333,5.0,-1.26219,6.75,3.0,-0.10000000000000009,0.0
2016-04-01,6.674549230977567,2.299999999999997,6.478960000000001,2951.6588753288,24645.8,2.432665,2.25,6.4760409090909095,6.0,-0.4069383216202401,5.0,-2.51996,6.75,3.0,0.20000000000000018,0.0
2016-05-01,6.478463561076464,2.0,6.532171428571429,3264.747011073143,26610.7,2.4066666666666667,2.25,6.528231818181819,6.0,-0.3996283750901964,6.0,-2.0076,6.75,3.0,-0.10000000000000009,0.0
2016-06-01,6.946001234908827,1.9000000000000057,6.595205,3159.6893108683503,26857.4,2.393333333333333,2.25,6.58485,6.2,-0.3553741009102471,7.0,-4.16505,6.75,3.0,0.30000000000000027,0.0
2016-07-01,6.155378971197023,1.7999999999999972,6.677966666666667,3354.1662915670004,26827.4,2.4285714285714284,2.25,6.677442857142857,6.0,-0.3553741009102471,7.0,-6.5802,6.75,3.0,-0.20000000000000018,0.0
2016-08-01,6.982509311034235,1.2999999999999972,6.649404347826088,3460.9674198023913,27539.6,2.460434782608696,2.25,6.647430434782609,6.3,-0.2795357329507297,7.0,-6.84039,6.75,3.0,-0.1499999999999999,0.0
2016-09-01,6.960508947257127,1.9000000000000057,6.67281,2801.0896277022,27976.4,2.4985714285714287,2.25,6.672352380952382,6.1,-0.329726441100154,8.0,-6.45192,6.75,3.0,0.19999999999999973,0.0
2016-10-01,6.6663899390732695,2.0999999999999943,6.74693125,3290.099867781875,31119.2,2.6394444444444445,2.25,6.740270588235295,6.1,-0.2992476463517822,8.0,-5.78504,6.75,3.0,0.4500000000000002,0.0
2016-11-01,7.320467527338614,2.299999999999997,6.8413,3025.883319102,30958.5,2.674545454545455,2.25,6.837536363636364,6.2,-0.2611015090550192,7.0,-6.72381,6.75,3.0,0.2400000000000002,0.0
2016-12-01,6.403656961589732,2.0999999999999943,6.923536363636364,2818.4626079386367,31757.0,2.748181818181818,2.25,6.918195454545455,6.0,-0.2611015090550192,7.0,-5.40877,6.75,3.0,0.0,0.0
2017-01-01,6.924702192379439,2.5,6.895538888888889,3540.3881851829447,28979.85,2.5694736842105264,2.25,6.894152631578947,6.3,-0.2057111784244502,7.0,-4.66077,6.75,3.0,-0.54,0.3999999999999999
2017-02-01,6.663101013806161,0.7999999999999972,6.873188888888889,-628.737325351111,28979.85,2.907368421052632,2.35,6.871344444444444,6.3,-0.0031435349886464,10.0,-6.47372,6.75,3.0,0.2999999999999998,0.0
2017-03-01,7.409527274591898,0.9000000000000057,6.896591304347826,1649.417397201739,27863.7,3.4086956521739133,2.39,6.893152173913044,7.6,0.1476050803441883,11.0,-6.15921,6.5,3.0,1.5,0.7999999999999998
2017-04-01,6.681622019739675,1.2000000000000028,6.8915,2621.0187653649996,27278.5,3.305789473684211,2.45,6.88596,6.5,0.0994926548236919,7.0,-5.20967,6.5,3.0,-0.20000000000000018,0.0
